"Fecha","NO","NE","CE","SO","SE"
"ene.",71.2755376344086,94.7920110192837,66.2190860215054,44.2338709677419,68.2791366906475
"feb.",79.6661698956781,83.3721264367816,69.6048850574713,45.2413793103448,65.7974137931034
"mar.",84.4704301075269,84.994623655914,69.0927419354839,57.6263440860215,78.2862903225806
"abr.",71.3375,75.2180555555556,64.5347222222222,54.3416666666667,68.775
"may.",61.9596774193548,65.7606019151847,54.8817204301075,51.4556451612903,57.1881720430108
"jun.",49.1833333333333,49.9816384180791,42.0152777777778,31.4152777777778,34.3444444444444
"jul.",45.5800807537012,49.2432795698925,34.9084791386272,31.246963562753,34.4187779433681
"ago.",35.9986559139785,36.6706989247312,26.0594594594595,24.511724137931,31.8621745788668
"sep.",39.9541666666667,38,33.9125,27.3638888888889,34.8897168405365
"oct.",55.1451612903226,64.5967741935484,49.2876344086022,33.5134408602151,50.1989247311828
"nov.",66.4513888888889,82.3263888888889,63.1361111111111,41.5472222222222,63.160363086233
"dic.",80.2889784946236,88.4005376344086,66.3225806451613,44.4623655913978,66.6720430107527
